GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1600000US0107000,0107000,"Birmingham city, Alabama",212744,1671
1600000US0121184,0121184,"Dothan city, Alabama",67526,580
1600000US0135896,0135896,"Hoover city, Alabama",84937,66
1600000US0137000,0137000,"Huntsville city, Alabama",195369,1502
1600000US0150000,0150000,"Mobile city, Alabama",190273,44
1600000US0151000,0151000,"Montgomery city, Alabama",199525,34
1600000US0177256,0177256,"Tuscaloosa city, Alabama",100296,38
1600000US0203000,0203000,"Anchorage municipality, Alaska",294356,*****
1600000US0404720,0404720,"Avondale city, Arizona",84034,49
1600000US0407940,0407940,"Buckeye city, Arizona",68431,80
1600000US0410670,0410670,"Casas Adobes CDP, Arizona",73668,5807
1600000US0412000,0412000,"Chandler city, Arizona",253448,54
1600000US0423620,0423620,"Flagstaff city, Arizona",71975,21
1600000US0427400,0427400,"Gilbert town, Arizona",242362,55
1600000US0427820,0427820,"Glendale city, Arizona",246708,45
1600000US0428380,0428380,"Goodyear city, Arizona",79850,40
1600000US0446000,0446000,"Mesa city, Arizona",496395,55
1600000US0454050,0454050,"Peoria city, Arizona",168174,53
1600000US0455000,0455000,"Phoenix city, Arizona",1626085,78
1600000US0464210,0464210,"San Tan Valley CDP, Arizona",92851,8533
1600000US0465000,0465000,"Scottsdale city, Arizona",249947,34
1600000US0471510,0471510,"Surprise city, Arizona",134079,38
1600000US0473000,0473000,"Tempe city, Arizona",185025,60
1600000US0477000,0477000,"Tucson city, Arizona",535676,56
1600000US0485540,0485540,"Yuma city, Arizona",95494,40
1600000US0515190,0515190,"Conway city, Arkansas",65790,33
1600000US0523290,0523290,"Fayetteville city, Arkansas",85258,27
1600000US0524550,0524550,"Fort Smith city, Arkansas",88028,36
1600000US0535710,0535710,"Jonesboro city, Arkansas",75867,20
1600000US0541000,0541000,"Little Rock city, Arkansas",198594,49
1600000US0550450,0550450,"North Little Rock city, Arkansas",65920,35
1600000US0560410,0560410,"Rogers city, Arkansas",66432,25
1600000US0566080,0566080,"Springdale city, Arkansas",82397,3967
1600000US0600562,0600562,"Alameda city, California",79188,53
1600000US0600884,0600884,"Alhambra city, California",85391,41
1600000US0602000,0602000,"Anaheim city, California",352456,165
1600000US0602252,0602252,"Antioch city, California",111683,51
1600000US0602364,0602364,"Apple Valley town, California",73071,26
1600000US0602553,0602553,"Arden-Arcade CDP, California",100573,7428
1600000US0603526,0603526,"Bakersfield city, California",380887,64
1600000US0603666,0603666,"Baldwin Park city, California",76392,46
1600000US0604982,0604982,"Bellflower city, California",77772,32
1600000US0606000,0606000,"Berkeley city, California",122334,48
1600000US0608786,0608786,"Buena Park city, California",83026,50
1600000US0608954,0608954,"Burbank city, California",104823,45
1600000US0610046,0610046,"Camarillo city, California",67849,33
1600000US0611194,0611194,"Carlsbad city, California",115326,43
1600000US0611390,0611390,"Carmichael CDP, California",65959,5778
1600000US0611530,0611530,"Carson city, California",92736,28
1600000US0611964,0611964,"Castro Valley CDP, California",62103,4515
1600000US0613014,0613014,"Chico city, California",93297,29
1600000US0613210,0613210,"Chino city, California",89798,39
1600000US0613214,0613214,"Chino Hills city, California",80400,97
1600000US0613392,0613392,"Chula Vista city, California",270450,88
1600000US0613588,0613588,"Citrus Heights city, California",87924,37
1600000US0614218,0614218,"Clovis city, California",109700,47
1600000US0615044,0615044,"Compton city, California",97626,57
1600000US0616000,0616000,"Concord city, California",129778,39
1600000US0616350,0616350,"Corona city, California",167843,48
1600000US0616532,0616532,"Costa Mesa city, California",113821,34
1600000US0617918,0617918,"Daly City city, California",107091,58
1600000US0618100,0618100,"Davis city, California",68985,23
1600000US0619766,0619766,"Downey city, California",113089,35
1600000US0620802,0620802,"East Los Angeles CDP, California",125542,10161
1600000US0621712,0621712,"El Cajon city, California",103906,47
1600000US0622020,0622020,"Elk Grove city, California",171831,66
1600000US0622230,0622230,"El Monte city, California",116110,38
1600000US0622804,0622804,"Escondido city, California",151979,43
1600000US0623182,0623182,"Fairfield city, California",116280,64
1600000US0624477,0624477,"Florence-Graham CDP, California",68095,7403
1600000US0624638,0624638,"Folsom city, California",78038,28
1600000US0624680,0624680,"Fontana city, California",211820,42
1600000US0626000,0626000,"Fremont city, California",234954,45
1600000US0627000,0627000,"Fresno city, California",527422,75
1600000US0628000,0628000,"Fullerton city, California",140402,52
1600000US0629000,0629000,"Garden Grove city, California",174228,39
1600000US0630000,0630000,"Glendale city, California",203066,53
1600000US0632548,0632548,"Hawthorne city, California",87863,44
1600000US0633000,0633000,"Hayward city, California",160485,61
1600000US0633182,0633182,"Hemet city, California",85153,41
1600000US0633434,0633434,"Hesperia city, California",94867,39
1600000US0636000,0636000,"Huntington Beach city, California",201882,52
1600000US0636448,0636448,"Indio city, California",89784,36
1600000US0636546,0636546,"Inglewood city, California",110611,49
1600000US0636770,0636770,"Irvine city, California",277436,56
1600000US0637692,0637692,"Jurupa Valley city, California",106032,29
1600000US0639248,0639248,"Laguna Niguel city, California",66346,47
1600000US0639486,0639486,"Lake Elsinore city, California",66412,34
1600000US0639496,0639496,"Lake Forest city, California",84308,60
1600000US0639892,0639892,"Lakewood city, California",80971,37
1600000US0640130,0640130,"Lancaster city, California",160323,38
1600000US0641992,0641992,"Livermore city, California",90290,32
1600000US0642202,0642202,"Lodi city, California",65891,39
1600000US0643000,0643000,"Long Beach city, California",469459,61
1600000US0644000,0644000,"Los Angeles city, California",3999742,78
1600000US0644574,0644574,"Lynwood city, California",71115,62
1600000US0645022,0645022,"Madera city, California",65506,22
1600000US0645484,0645484,"Manteca city, California",79275,38
1600000US0646842,0646842,"Menifee city, California",90599,35
1600000US0646898,0646898,"Merced city, California",83100,62
1600000US0647766,0647766,"Milpitas city, California",78108,32
1600000US0648256,0648256,"Mission Viejo city, California",96009,42
1600000US0648354,0648354,"Modesto city, California",214220,33
1600000US0649270,0649270,"Moreno Valley city, California",207211,65
1600000US0649670,0649670,"Mountain View city, California",81443,37
1600000US0650076,0650076,"Murrieta city, California",113316,44
1600000US0650258,0650258,"Napa city, California",79782,43
1600000US0651182,0651182,"Newport Beach city, California",86151,33
1600000US0652526,0652526,"Norwalk city, California",106086,35
1600000US0653000,0653000,"Oakland city, California",425204,66
1600000US0653322,0653322,"Oceanside city, California",176208,61
1600000US0653896,0653896,"Ontario city, California",175850,50
1600000US0653980,0653980,"Orange city, California",140557,42
1600000US0654652,0654652,"Oxnard city, California",210038,46
1600000US0655156,0655156,"Palmdale city, California",157507,52
1600000US0655282,0655282,"Palo Alto city, California",67170,37
1600000US0656000,0656000,"Pasadena city, California",142632,58
1600000US0656700,0656700,"Perris city, California",77895,55
1600000US0657456,0657456,"Pittsburg city, California",72157,60
1600000US0657792,0657792,"Pleasanton city, California",83007,29
1600000US0658072,0658072,"Pomona city, California",152946,46
1600000US0659444,0659444,"Rancho Cordova city, California",73554,46
1600000US0659451,0659451,"Rancho Cucamonga city, California",177446,43
1600000US0659920,0659920,"Redding city, California",91788,35
1600000US0659962,0659962,"Redlands city, California",71562,37
1600000US0660018,0660018,"Redondo Beach city, California",67908,29
1600000US0660102,0660102,"Redwood City city, California",86683,29
1600000US0660466,0660466,"Rialto city, California",103555,41
1600000US0660620,0660620,"Richmond city, California",110037,44
1600000US0662000,0662000,"Riverside city, California",327722,56
1600000US0662938,0662938,"Roseville city, California",135325,37
1600000US0664000,0664000,"Sacramento city, California",501890,66
1600000US0664224,0664224,"Salinas city, California",157594,26
1600000US0665000,0665000,"San Bernardino city, California",216983,67
1600000US0665042,0665042,"San Buenaventura (Ventura) city, California",110784,41
1600000US0665084,0665084,"San Clemente city, California",65269,23
1600000US0666000,0666000,"San Diego city, California",1419488,92
1600000US0667000,0667000,"San Francisco city, California",884363,*****
1600000US0668000,0668000,"San Jose city, California",1035353,114
1600000US0668084,0668084,"San Leandro city, California",90555,29
1600000US0668196,0668196,"San Marcos city, California",96188,48
1600000US0668252,0668252,"San Mateo city, California",104733,53
1600000US0668378,0668378,"San Ramon city, California",75922,41
1600000US0669000,0669000,"Santa Ana city, California",334135,56
1600000US0669070,0669070,"Santa Barbara city, California",92099,30
1600000US0669084,0669084,"Santa Clara city, California",127131,41
1600000US0669088,0669088,"Santa Clarita city, California",210886,49
1600000US0669112,0669112,"Santa Cruz city, California",65028,29
1600000US0669196,0669196,"Santa Maria city, California",107018,27
1600000US0670000,0670000,"Santa Monica city, California",92298,35
1600000US0670098,0670098,"Santa Rosa city, California",175269,33
1600000US0672016,0672016,"Simi Valley city, California",126875,40
1600000US0673080,0673080,"South Gate city, California",95422,41
1600000US0673262,0673262,"South San Francisco city, California",67430,29
1600000US0675000,0675000,"Stockton city, California",310476,88
1600000US0677000,0677000,"Sunnyvale city, California",153656,37
1600000US0678120,0678120,"Temecula city, California",114318,51
1600000US0678582,0678582,"Thousand Oaks city, California",128972,78
1600000US0680000,0680000,"Torrance city, California",146745,47
1600000US0680238,0680238,"Tracy city, California",90886,36
1600000US0680812,0680812,"Turlock city, California",73562,34
1600000US0680854,0680854,"Tustin city, California",80502,35
1600000US0681204,0681204,"Union City city, California",75344,28
1600000US0681344,0681344,"Upland city, California",76985,55
1600000US0681554,0681554,"Vacaville city, California",100023,45
1600000US0681666,0681666,"Vallejo city, California",122086,86
1600000US0682590,0682590,"Victorville city, California",122465,86
1600000US0682954,0682954,"Visalia city, California",133009,39
1600000US0682996,0682996,"Vista city, California",101557,42
1600000US0683346,0683346,"Walnut Creek city, California",69792,72
1600000US0684200,0684200,"West Covina city, California",107623,88
1600000US0684550,0684550,"Westminster city, California",91548,62
1600000US0685292,0685292,"Whittier city, California",86841,36
1600000US0686832,0686832,"Yorba Linda city, California",68234,43
1600000US0686972,0686972,"Yuba City city, California",66872,47
1600000US0803455,0803455,"Arvada city, Colorado",118300,1124
1600000US0804000,0804000,"Aurora city, Colorado",367250,738
1600000US0807850,0807850,"Boulder city, Colorado",107128,28
1600000US0809280,0809280,"Broomfield city, Colorado",68341,*****
1600000US0812815,0812815,"Centennial city, Colorado",110277,100
1600000US0816000,0816000,"Colorado Springs city, Colorado",464470,44
1600000US0820000,0820000,"Denver city, Colorado",704621,*****
1600000US0827425,0827425,"Fort Collins city, Colorado",165089,43
1600000US0832155,0832155,"Greeley city, Colorado",105457,43
1600000US0836410,0836410,"Highlands Ranch CDP, Colorado",107216,4910
1600000US0843000,0843000,"Lakewood city, Colorado",154952,41
1600000US0845970,0845970,"Longmont city, Colorado",94145,44
1600000US0846465,0846465,"Loveland city, Colorado",76702,25
1600000US0862000,0862000,"Pueblo city, Colorado",111121,32
1600000US0877290,0877290,"Thornton city, Colorado",136992,63
1600000US0883835,0883835,"Westminster city, Colorado",112814,38
1600000US0908000,0908000,"Bridgeport city, Connecticut",146582,33
1600000US0918430,0918430,"Danbury city, Connecticut",85243,30
1600000US0937000,0937000,"Hartford city, Connecticut",123420,72
1600000US0950370,0950370,"New Britain city, Connecticut",72718,40
1600000US0952000,0952000,"New Haven city, Connecticut",131005,44
1600000US0955990,0955990,"Norwalk city, Connecticut",89000,29
1600000US0973000,0973000,"Stamford city, Connecticut",130835,52
1600000US0980000,0980000,"Waterbury city, Connecticut",108642,54
