GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Agriculture, forestry, fishing and hunting, and mining:","Margin of Error; Agriculture, forestry, fishing and hunting, and mining:","Estimate; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting","Margin of Error; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting","Estimate; Agriculture, forestry, fishing and hunting, and mining: - Mining","Margin of Error; Agriculture, forestry, fishing and hunting, and mining: - Mining",Estimate; Construction,Margin of Error; Construction,Estimate; Manufacturing,Margin of Error; Manufacturing,Estimate; Wholesale trade,Margin of Error; Wholesale trade,Estimate; Retail trade,Margin of Error; Retail trade,"Estimate; Transportation and warehousing, and utilities:","Margin of Error; Transportation and warehousing, and utilities:","Estimate; Transportation and warehousing, and utilities: - Transportation and warehousing","Margin of Error; Transportation and warehousing, and utilities: - Transportation and warehousing","Estimate; Transportation and warehousing, and utilities: - Utilities","Margin of Error; Transportation and warehousing, and utilities: - Utilities",Estimate; Information,Margin of Error; Information,"Estimate; Finance and insurance, and real estate and rental and leasing:","Margin of Error; Finance and insurance, and real estate and rental and leasing:","Estimate; Finance and insurance, and real estate and rental and leasing: - Finance and insurance","Margin of Error; Finance and insurance, and real estate and rental and leasing: - Finance and insurance","Estimate; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing","Margin of Error; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing","Estimate; Professional, scientific, and management, and administrative and waste management services:","Margin of Error; Professional, scientific, and management, and administrative and waste management services:","Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services","Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services","Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises","Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises","Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services","Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services","Estimate; Educational services, and health care and social assistance:","Margin of Error; Educational services, and health care and social assistance:","Estimate; Educational services, and health care and social assistance: - Educational services","Margin of Error; Educational services, and health care and social assistance: - Educational services","Estimate; Educational services, and health care and social assistance: - Health care and social assistance","Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance","Estimate; Arts, entertainment, and recreation, and accommodation and food services:","Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:","Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation","Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation","Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services","Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services",Estimate; Other services except public administration,Margin of Error; Other services except public administration,Estimate; Public administration,Margin of Error; Public administration
1600000US0107000,0107000,"Birmingham city, Alabama",30975,1385,31696,76543,30818,12273,"100,000+",***,32173,5005,32807,7715,31296,8405,23141,4062,43020,8453,40182,11376,51536,19919,39626,8107,31271,3698,32947,5230,27428,7590,31765,8419,55519,20655,50017,17775,26073,2830,30761,4405,36640,4488,28361,5163,23852,4886,24975,17104,23288,7399,22154,18920,41401,3381
1600000US0121184,0121184,"Dothan city, Alabama",35432,3035,23010,8557,22628,6502,-,**,24644,3849,45161,6291,42386,11221,26839,4506,50353,5752,46523,9484,62420,26676,37096,11166,36306,4896,37018,5435,33482,11968,49265,18071,55635,21991,-,**,36789,12043,39494,4507,40944,4415,37176,7253,16582,3419,28510,11808,15846,4131,21653,4375,39559,12846
1600000US0135896,0135896,"Hoover city, Alabama",53313,5410,-,**,-,**,-,**,50109,14874,70760,29820,53856,5742,42552,13175,94315,16947,77558,30097,97511,14289,81421,2570,66738,24916,77136,7198,33249,11853,54607,25060,71781,26659,-,**,41417,12171,49766,7296,44581,5070,55171,21294,24125,3389,63525,29442,23394,5863,60149,69412,60293,17965
1600000US0137000,0137000,"Huntsville city, Alabama",40028,2774,-,**,-,**,-,**,24917,2320,36663,5997,58028,26201,30179,8706,32296,8372,31281,6334,39504,19876,41886,12271,32865,11675,31570,14437,33420,20268,65830,12251,71155,3965,-,**,25035,12048,37406,4723,42492,5808,35760,5330,19946,2922,26777,8299,19111,2402,26410,5072,78322,14665
1600000US0150000,0150000,"Mobile city, Alabama",31623,1160,30960,22984,19355,1985,32329,44537,35576,3913,38610,3863,44836,9627,25010,8078,36662,8226,35922,2966,51958,13662,40250,10043,41028,3833,40235,11794,55132,31834,31762,6746,41183,3679,-,**,21646,7800,28595,3451,35953,6940,25659,5555,20907,1872,22146,6824,20170,6217,27215,3734,31324,1246
1600000US0151000,0151000,"Montgomery city, Alabama",36379,1372,-,**,-,**,-,**,30794,7256,37569,2279,50947,15171,26127,3327,38590,12763,31982,12339,41618,13829,31023,13946,36452,6261,35797,8829,38933,20777,38318,9259,53393,12089,-,**,31968,3907,41253,6728,44209,8090,37036,8104,16195,4194,19230,13879,14226,4582,33546,4143,45034,3355
1600000US0177256,0177256,"Tuscaloosa city, Alabama",35586,2397,27383,78355,21991,5628,57470,98526,20995,5817,35707,8838,40306,18346,22907,3526,21495,56123,13442,21077,61875,36517,31500,19254,32117,10416,32198,9471,22357,29610,38955,7837,39572,18713,-,**,19238,41251,42112,5789,46106,4133,37304,8900,20104,16797,46142,11892,19256,8583,20745,9151,36681,4066
1600000US0203000,0203000,"Anchorage municipality, Alaska",46518,1259,"100,000+",***,"100,000+",***,"100,000+",***,47254,12239,42343,21055,57837,32910,32377,2226,50035,2016,49682,2142,56794,14721,56829,13679,40000,7054,37466,6513,45345,14562,50500,5575,62471,9739,"100,000+",***,36801,3412,45126,3221,46911,3581,43583,5157,25530,3810,28798,11986,24427,3437,45877,10781,55190,4803
1600000US0404720,0404720,"Avondale city, Arizona",40536,3499,-,**,-,**,-,**,47367,17737,36215,8384,46600,14530,33022,8411,52268,12633,50152,9664,86451,44136,48815,53904,31425,24499,55556,49816,-,**,45806,1964,58297,14806,-,**,41602,6653,39254,7319,35333,8319,40585,11926,22992,12582,30716,13238,21592,10122,30949,36732,44829,15981
