Median earnings 2007,Id,Population 2007,Median earnings 2017,Population 2017,Geography,"Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Agriculture, forestry, fishing and hunting, and mining: - Mining 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Construction 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Manufacturing 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Wholesale trade 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Retail trade 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Transportation and warehousing, and utilities: - Transportation and warehousing 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Transportation and warehousing, and utilities: - Utilities 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Information 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Finance and insurance, and real estate and rental and leasing: - Finance and insurance 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Educational services, and health care and social assistance: - Educational services 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Educational services, and health care and social assistance: - Health care and social assistance 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Public administration 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over 2017","Total; Estimate; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting 2017","Total; Estimate; Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction 2017",Total; Estimate; Construction 2017,Total; Estimate; Manufacturing 2017,Total; Estimate; Wholesale trade 2017,Total; Estimate; Retail trade 2017,"Total; Estimate; Transportation and warehousing, and utilities: - Transportation and warehousing 2017","Total; Estimate; Transportation and warehousing, and utilities: - Utilities 2017",Total; Estimate; Information 2017,"Total; Estimate; Finance and insurance, and real estate and rental and leasing: - Finance and insurance 2017","Total; Estimate; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing 2017","Total; Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services 2017","Total; Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises 2017","Total; Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services 2017","Total; Estimate; Educational services, and health care and social assistance: - Educational services 2017","Total; Estimate; Educational services, and health care and social assistance: - Health care and social assistance 2017","Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation 2017","Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services 2017",Total; Estimate; Public administration 2017
22280,1600000US0107000,206215,24560,212744,"Birmingham city, Alabama",60496,197,159,3800,5687,2250,7649,2403,922,2184,4373,939,2341,145,3045,3735,10597,535,3437,4135,65528,46,0,3139,5680,1731,7256,2466,1320,1693,5032,1148,3965,0,2900,4829,11301,1703,4879,3479
23215,1600000US0137000,167121,31058,195369,"Huntsville city, Alabama",47733,0,0,2544,8291,917,4394,1431,288,1372,1700,1079,6938,0,1093,2749,5246,558,2322,4853,67113,288,112,4659,9794,1442,7692,1825,330,957,1941,922,10614,123,2139,3965,6785,624,3745,6868
21726,1600000US0150000,189476,30484,190273,"Mobile city, Alabama",52358,184,313,4375,4801,1650,6656,2490,1129,972,2184,1198,4722,46,1726,3465,8290,376,2122,3031,62449,326,78,3472,7316,1534,5937,3602,1024,1057,2418,1412,4794,44,2809,5605,9997,975,4858,2990
25742,1600000US0151000,200834,25504,199525,"Montgomery city, Alabama",59922,66,0,3805,8353,1435,5619,1629,692,1143,3882,963,2643,0,3051,4718,5889,781,3030,9173,56487,0,0,2578,9338,1024,4838,3146,103,1220,3521,330,3448,44,1676,4365,6159,938,3819,7106
17897,1600000US0177256,77430,21638,100296,"Tuscaloosa city, Alabama",17302,86,83,1349,2694,539,1428,592,243,728,309,136,887,0,519,2167,3119,187,902,863,31192,0,0,1436,4398,880,3061,1684,229,416,966,763,1420,0,1449,4344,5418,155,3105,402
34478,1600000US0203000,279671,41094,294356,"Anchorage municipality, Alaska",85223,72,2368,5877,1169,2689,8019,7347,377,2280,3523,2105,6664,175,3627,4155,12221,1190,4768,11761,105082,640,2139,6599,1749,2705,10612,7717,1132,2288,2808,1543,7692,513,2641,6222,18562,736,8881,13818
37320,1600000US0412000,227940,42670,253448,"Chandler city, Arizona",86666,337,0,7867,13966,4555,8183,2742,908,1649,7982,1729,7119,40,3821,6012,7381,1104,4844,3926,100453,193,62,5783,13957,3748,9297,4371,721,2244,10986,2674,9043,208,5016,7264,11921,1654,4530,3648
40447,1600000US0427400,195090,43531,242362,"Gilbert town, Arizona",64787,45,264,5047,8882,3104,6537,2907,833,809,5554,2742,5968,62,2234,3130,7997,1123,1538,3666,90306,30,59,3169,11764,3228,9154,3957,838,2587,8746,2773,7794,530,3950,7595,11685,1709,3490,4074
27982,1600000US0427820,235940,29755,246708,"Glendale city, Arizona",73704,201,52,9063,7325,3228,7997,4028,1075,1476,5187,1512,3694,52,4988,2594,8056,646,4503,4270,82085,598,109,6312,6864,1925,8366,6601,1069,1549,6701,1660,3717,0,4911,6036,13124,1623,3726,4141
27510,1600000US0446000,479415,30910,496395,"Mesa city, Arizona",150898,1012,262,23951,17605,4272,16433,6187,1196,2323,9097,2889,8632,106,10711,7275,13421,3790,10614,5441,166666,408,759,17636,15915,4514,18823,7895,1354,3226,12434,2982,13372,151,11045,11619,20807,2619,7505,5482
34875,1600000US0454050,152107,39324,168174,"Peoria city, Arizona",50181,212,160,4527,4479,2467,6247,2288,777,819,5018,1691,2668,41,2584,3355,5659,497,1647,2960,60665,140,0,4326,5730,2208,7103,2768,527,1726,6720,1061,3957,0,2594,4727,8832,713,1918,2916
28019,1600000US0455000,1513777,31917,1626085,"Phoenix city, Arizona",510372,550,579,78066,51339,18905,50111,21117,4308,8595,36261,13855,32373,1025,34599,19623,44519,7408,35607,25096,579003,1156,441,55788,43046,18269,58639,28211,3434,11066,53838,15824,40502,778,41708,36180,72150,8588,36166,26670
41402,1600000US0465000,213877,50851,249947,"Scottsdale city, Arizona",70712,260,0,4073,6458,2343,7232,2557,553,1422,7880,4578,8100,171,2882,3646,7322,2705,4175,1667,92569,212,264,3035,6680,3121,8456,3655,837,2220,11221,3947,12063,286,4380,6221,12399,2318,6039,2147
35115,1600000US0471510,107832,36025,134079,"Surprise city, Arizona",27424,0,0,3206,2561,827,3496,1110,239,1121,2270,901,1276,0,1559,1573,3294,163,670,2010,43643,0,0,4492,3748,610,6399,2107,434,958,3040,811,2000,61,1455,2394,6004,298,2990,3604
25819,1600000US0473000,168588,30516,185025,"Tempe city, Arizona",57963,0,0,6088,8797,2023,4724,2399,638,868,3913,1561,4108,0,3375,5580,5702,897,3543,1889,70580,296,145,5201,5888,1688,6826,3084,1835,1311,8176,1056,6794,351,3489,8109,7677,1282,3442,1757
22801,1600000US0477000,519260,24586,535676,"Tucson city, Arizona",144864,376,1034,12453,12654,4443,13743,5578,1396,2269,5222,2197,7849,216,10454,13160,19509,3944,10249,11504,153895,558,427,11992,11038,3184,18349,6201,1538,2148,6512,2754,9450,176,11353,14098,24732,2538,10041,12022
28347,1600000US0541000,198196,35867,198594,"Little Rock city, Arkansas",62752,268,0,2964,3407,2252,4287,3151,314,3830,5748,1155,4412,120,1788,4451,13224,887,3581,4123,75805,0,0,3675,3547,1964,8535,3002,1322,2174,5847,1810,4978,65,2787,7504,16179,763,2635,5506
25948,1600000US0602000,342856,30477,352456,"Anaheim city, California",110906,0,0,11756,24067,6497,9578,3907,723,1032,6224,2811,5097,110,7741,3606,9741,2084,8117,3132,122564,239,44,11386,18719,6008,10181,4605,995,2228,8107,2263,8809,301,7499,4710,14533,2668,8897,2941
35584,1600000US0602252,104426,34068,111683,"Antioch city, California",27833,0,0,3080,2226,1120,3178,1643,726,1296,2307,243,1350,47,1784,985,3785,61,431,2518,33546,312,0,3458,2062,1342,3686,2543,353,664,1013,716,905,242,2967,1629,5888,257,2425,1889
32393,1600000US0602553,88615,31720,100573,"Arden-Arcade CDP, California",26527,0,0,2369,1381,730,2047,475,751,1155,2599,697,2372,0,1007,1532,3218,198,1187,4172,31676,53,0,2583,1401,565,2724,1539,651,929,1497,800,2689,0,2622,3022,4696,508,1694,2277
26594,1600000US0603526,324540,31808,380887,"Bakersfield city, California",87176,4866,4260,8476,4993,4144,7320,4215,1409,2521,4096,2035,3463,0,3877,5343,10383,690,5366,6815,101055,5441,5385,7739,6593,4170,9092,6833,1305,1226,3481,2206,3917,47,3875,6658,15419,721,5814,7888
31078,1600000US0606000,111680,31870,122334,"Berkeley city, California",25465,0,0,1273,1622,681,1503,334,235,938,1383,425,4320,0,287,5733,2724,762,701,1512,35780,0,0,994,1801,1002,1480,132,196,1699,1554,345,7126,0,1776,8469,3206,1469,1276,1111
41019,1600000US0608954,96972,40992,104823,"Burbank city, California",36757,0,0,2665,2662,825,3668,2058,624,4828,989,1190,2364,90,2397,1784,4677,1996,1088,936,38790,41,242,1559,2165,782,2157,1127,248,4453,2938,1913,4520,39,1283,2183,4489,2998,2626,848
44703,1600000US0611194,95796,60638,115326,"Carlsbad city, California",30042,229,0,2568,4429,1059,2935,309,655,1599,1581,1954,3746,0,683,1873,1952,1113,943,1713,37671,158,0,1523,7560,809,1842,684,876,1085,2027,1963,6088,0,1971,2518,4258,1048,414,1495
