,Median earnings 2007,Id2,Geography_x,Population 2007,Median earnings 2017,Geography_y,Population 2017,Id,Geography,"Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Agriculture, forestry, fishing and hunting, and mining: 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Agriculture, forestry, fishing and hunting, and mining: 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Agriculture, forestry, fishing and hunting, and mining: - Mining 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Agriculture, forestry, fishing and hunting, and mining: - Mining 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Construction 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Construction 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Manufacturing 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Manufacturing 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Wholesale trade 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Wholesale trade 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Retail trade 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Retail trade 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Transportation and warehousing, and utilities: 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Transportation and warehousing, and utilities: 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Transportation and warehousing, and utilities: - Transportation and warehousing 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Transportation and warehousing, and utilities: - Transportation and warehousing 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Transportation and warehousing, and utilities: - Utilities 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Transportation and warehousing, and utilities: - Utilities 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Information 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Information 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Finance and insurance, and real estate and rental and leasing: 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Finance and insurance, and real estate and rental and leasing: 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Finance and insurance, and real estate and rental and leasing: - Finance and insurance 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Finance and insurance, and real estate and rental and leasing: - Finance and insurance 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Educational services, and health care and social assistance: 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Educational services, and health care and social assistance: 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Educational services, and health care and social assistance: - Educational services 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Educational services, and health care and social assistance: - Educational services 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Educational services, and health care and social assistance: - Health care and social assistance 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Educational services, and health care and social assistance: - Health care and social assistance 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Arts, entertainment, and recreation, and accommodation and food services: 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Arts, entertainment, and recreation, and accommodation and food services: 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Other services, except public administration 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Other services, except public administration 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Public administration 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Public administration 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - PERCENT IMPUTED - Industry 2007","Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - PERCENT IMPUTED - Industry 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over 2017","Total; Estimate; Agriculture, forestry, fishing and hunting, and mining: 2017","Total; Estimate; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting 2017","Total; Estimate; Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction 2017",Total; Estimate; Construction 2017,Total; Estimate; Manufacturing 2017,Total; Estimate; Wholesale trade 2017,Total; Estimate; Retail trade 2017,"Total; Estimate; Transportation and warehousing, and utilities: 2017","Total; Estimate; Transportation and warehousing, and utilities: - Transportation and warehousing 2017","Total; Estimate; Transportation and warehousing, and utilities: - Utilities 2017",Total; Estimate; Information 2017,"Total; Estimate; Finance and insurance, and real estate and rental and leasing: 2017","Total; Estimate; Finance and insurance, and real estate and rental and leasing: - Finance and insurance 2017","Total; Estimate; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing 2017","Total; Estimate; Professional, scientific, and management, and administrative and waste management services: 2017","Total; Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services 2017","Total; Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises 2017","Total; Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services 2017","Total; Estimate; Educational services, and health care and social assistance: 2017","Total; Estimate; Educational services, and health care and social assistance: - Educational services 2017","Total; Estimate; Educational services, and health care and social assistance: - Health care and social assistance 2017","Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services: 2017","Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation 2017","Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services 2017","Total; Estimate; Other services, except public administration 2017",Total; Estimate; Public administration 2017
0,27504,10180,"Abilene, TX Metro Area",159439,34293,"Abilene, TX Metro Area",169747,3100000US10180,"Abilene, TX Metro Area",43279,32181,1824,49750,298,19861,1526,55569,2874,36429,2085,34343,1392,34710,4776,25327,2984,41789,2362,40417,622,46090,1012,36160,2814,35086,2193,35342,621,32948,3422,31237,1602,47674,0,-,1820,25856,11508,32664,4498,36478,7010,26261,2201,16973,242,16065,1959,17076,2266,23639,4121,34382,3.0,(X),53305,1658,407,1251,4086,4349,1603,6048,3493,2753,740,780,3729,3091,638,2301,1331,0,970,14420,4617,9803,2708,220,2488,2406,5724
1,33140,10420,"Akron, OH Metro Area",699356,38600,"Akron, OH Metro Area",703505,3100000US10420,"Akron, OH Metro Area",222796,40280,488,24185,392,19800,96,52600,14081,40767,53337,43030,11064,44554,19042,31903,11734,47806,8362,47474,3372,48569,5199,47402,14666,37213,12140,40253,2526,35684,19531,42568,12967,50493,1010,81656,5554,30849,46759,39174,15592,44899,31167,35744,10656,21589,1973,33564,8683,18866,7477,28567,8762,47435,2.5,(X),241525,1249,759,490,13489,46914,9847,25364,14322,10957,3365,4033,16345,12715,3630,24733,14874,682,9177,51035,17534,33501,12157,1676,10481,11946,10091
2,26715,10500,"Albany, GA Metro Area",162767,32012,"Albany, GA Metro Area",151754,3100000US10500,"Albany, GA Metro Area",43441,31412,1357,26061,1357,26061,0,-,2406,36311,6206,36279,1735,34981,4367,25866,3827,33103,3344,37972,483,26009,1769,22922,2653,37492,1557,44818,1096,29122,2795,28081,1412,29219,0,-,1383,26998,8481,33721,3848,45538,4633,26065,2148,18117,82,-,2066,18561,1758,21372,3939,40004,6.2,(X),42915,2282,2282,0,2052,6203,1836,4729,2281,2171,110,438,2727,1694,1033,3107,1636,0,1471,10615,3481,7134,1739,705,1034,1084,3822
3,38161,10580,"Albany-Schenectady-Troy, NY Metro Area",853358,47007,"Albany-Schenectady-Troy, NY Metro Area",886188,3100000US10580,"Albany-Schenectady-Troy, NY Metro Area",282534,43928,1445,37944,1366,37177,79,38481,15418,45118,24858,53195,9619,46178,25589,33492,14439,45842,12620,43659,1819,73180,8203,46893,23708,45809,19112,46431,4596,41267,30935,51878,23339,60762,135,"100,000+",7461,35462,58957,40324,19633,46536,39324,36491,15094,22042,3757,31969,11337,21289,12664,36244,41605,52017,3.0,(X),312013,1998,1661,337,16156,30327,6824,26966,13143,9233,3910,4406,26052,20722,5330,40684,30101,659,9924,79611,30222,49389,13908,3437,10471,12882,39056
4,31262,10740,"Albuquerque, NM Metro Area",832774,35474,"Albuquerque, NM Metro Area",913113,3100000US10740,"Albuquerque, NM Metro Area",245545,36658,2169,31539,1888,31859,281,21996,23534,33803,20765,42447,9163,39849,25135,30253,12730,41326,10471,40486,2259,47248,6421,32545,17181,37618,12009,40417,5172,36033,32988,51468,23670,63576,67,36580,9251,27549,49148,35392,17768,38148,31380,33600,16414,23842,5264,26954,11150,21528,8778,31189,21119,41035,4.8,(X),285612,4062,2721,1341,25716,13676,5704,28356,10823,8707,2116,5218,20792,14985,5807,40040,29182,260,10598,74106,28200,45906,20223,5352,14871,13296,23600
5,28620,10780,"Alexandria, LA Metro Area",148925,30917,"Alexandria, LA Metro Area",153984,3100000US10780,"Alexandria, LA Metro Area",42312,32808,1083,34737,487,32917,596,53700,3698,31039,5112,37469,1309,32535,4853,22909,2724,56836,1586,60663,1138,46076,1329,35681,2452,33411,1970,28989,482,39098,1754,35029,1099,42215,0,-,655,25805,11400,31023,2512,32552,8888,29944,1813,19917,339,22307,1474,15580,1727,23068,3058,41731,3.5,(X),42672,1207,304,903,2870,3209,1079,3299,2292,1424,868,131,1728,923,805,2531,1215,0,1316,13289,3670,9619,3136,597,2539,2708,5193
6,35201,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",803844,41099,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",840550,3100000US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",259380,41697,1728,34400,1467,33763,261,45862,18050,44992,48227,46896,11190,44286,24333,31418,18543,50551,14835,47483,3708,72406,8956,46632,21086,40460,15939,40942,5147,37244,24194,49746,14256,59847,426,71689,9512,34137,52769,39755,17266,41832,35503,37238,12438,26056,2308,32045,10130,25547,9246,32291,8620,51984,3.0,(X),293614,2068,1540,528,19811,50461,12067,28770,24757,19974,4783,5962,17326,14866,2460,28501,18085,756,9660,66176,22451,43725,15119,5311,9808,12478,10118
7,29331,11020,"Altoona, PA Metro Area",125527,33136,"Altoona, PA Metro Area",123457,3100000US11020,"Altoona, PA Metro Area",36248,35141,344,28520,287,24267,57,56250,3553,36304,6263,32596,1584,31703,4094,28904,3330,46784,2808,42818,522,60161,770,35916,853,31064,585,28380,268,31684,2229,35096,1416,36325,0,-,813,22227,9173,34238,2834,37868,6339,31965,1350,21465,143,35863,1207,20068,1041,31598,1664,47939,2.8,(X),39525,475,391,84,2282,6039,2290,4742,2691,2255,436,755,1585,1250,335,3068,1539,63,1466,9623,2786,6837,2538,616,1922,1525,1912
8,28591,11100,"Amarillo, TX Metro Area",241459,35586,"Amarillo, TX Metro Area",266575,3100000US11100,"Amarillo, TX Metro Area",81168,31737,1912,40545,1246,33977,666,41399,6508,27558,11553,36293,3711,34172,8905,22061,7206,47884,5721,44128,1485,50651,1753,33872,6778,30893,5393,30853,1385,31124,4097,38161,2646,48320,41,-,1410,23903,15876,34533,5708,39562,10168,32653,6363,18732,804,23251,5559,17659,3032,26039,3474,39858,4.3,(X),95968,3424,2608,816,10132,11732,2789,8764,6525,3899,2626,780,5030,4447,583,8727,4711,40,3976,21069,7750,13319,6759,641,6118,4544,5693
10,40964,11260,"Anchorage, AK Metro Area",362340,46544,"Anchorage, AK Metro Area",400888,3100000US11260,"Anchorage, AK Metro Area",104749,46646,2954,99415,171,"100,000+",2783,96654,7829,49113,1697,41913,3119,57779,11320,32349,9665,50016,9056,49188,609,81611,2952,57377,6837,42966,4232,39338,2605,52008,12786,49583,8198,62085,211,"100,000+",4377,36130,18582,45513,4646,47113,13936,44209,6735,25646,1505,31891,5230,24318,6343,45870,13930,55549,2.2,(X),133011,3733,817,2916,9967,2366,3179,14450,11616,10031,1585,2999,5426,3455,1971,12737,8925,550,3262,31394,8092,23302,10388,940,9448,7143,17613
11,39637,11460,"Ann Arbor, MI Metro Area",350003,46662,"Ann Arbor, MI Metro Area",367627,3100000US11460,"Ann Arbor, MI Metro Area",104296,50028,309,33403,173,16875,136,90278,3736,45474,16009,73122,3354,62679,8300,32273,2677,54714,2040,52390,637,"100,000+",3130,44835,6847,41030,4853,50169,1994,35810,12846,62191,10574,68033,127,85042,2145,36530,33176,47683,17283,48038,15893,47284,7307,28361,2262,31823,5045,25953,3445,33773,3160,63405,3.6,(X),123246,804,789,15,4251,19830,2446,10381,5222,4390,832,1927,5409,3726,1683,17046,13515,465,3066,41901,21926,19975,6567,1225,5342,4057,3405
12,30650,11500,"Anniston-Oxford, AL Metro Area",113103,32123,"Anniston-Oxford-Jacksonville, AL Metro Area",114728,3100000US11500,"Anniston-Oxford, AL Metro Area",32536,35802,345,27832,345,27832,0,-,1995,33275,8774,33825,868,50336,2708,22228,2166,45261,1567,46660,599,37078,439,27199,1176,29474,963,28487,213,35551,2125,36600,830,40393,0,-,1295,36025,5939,36510,1440,32977,4499,36832,1102,22218,277,47889,825,18575,1614,35101,3285,50322,7.0,(X),35319,141,64,77,1410,9152,581,4692,2046,1408,638,393,1373,1162,211,1943,856,0,1087,7531,2603,4928,1696,365,1331,1221,3140
13,35204,11540,"Appleton, WI Metro Area",218026,42367,"Appleton, WI Metro Area",236126,3100000US11540,"Appleton, WI Metro Area",74628,40983,1818,25762,1708,24853,110,80092,5117,42115,21973,46210,3472,46725,6957,30219,4066,41121,3349,38941,717,64670,1615,46469,6630,44685,5935,46187,695,32815,5234,42603,2853,49953,170,92998,2211,32704,9970,35906,3844,38903,6126,31552,3714,26119,893,30988,2821,25164,2467,37533,1595,47691,2.0,(X),94424,1813,1732,81,7949,27194,3981,6538,3972,3155,817,2389,7299,6688,611,6511,3842,0,2669,17894,7062,10832,3161,1049,2112,3194,2529
