GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Civilian employed population 16 years and over
HC01_MOE_VC01,Total; Margin of Error; Civilian employed population 16 years and over
HC02_EST_VC01,Male; Estimate; Civilian employed population 16 years and over
HC02_MOE_VC01,Male; Margin of Error; Civilian employed population 16 years and over
HC03_EST_VC01,Female; Estimate; Civilian employed population 16 years and over
HC03_MOE_VC01,Female; Margin of Error; Civilian employed population 16 years and over
HC04_EST_VC01,Median earnings (dollars); Estimate; Civilian employed population 16 years and over
HC04_MOE_VC01,Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over
HC05_EST_VC01,Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over
HC05_MOE_VC01,Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over
HC06_EST_VC01,Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over
HC06_MOE_VC01,Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over
HC01_EST_VC02,"Total; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining:"
HC01_MOE_VC02,"Total; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining:"
HC02_EST_VC02,"Male; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining:"
HC02_MOE_VC02,"Male; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining:"
HC03_EST_VC02,"Female; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining:"
HC03_MOE_VC02,"Female; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining:"
HC04_EST_VC02,"Median earnings (dollars); Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining:"
HC04_MOE_VC02,"Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining:"
HC05_EST_VC02,"Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining:"
HC05_MOE_VC02,"Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining:"
HC06_EST_VC02,"Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining:"
HC06_MOE_VC02,"Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining:"
HC01_EST_VC03,"Total; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC01_MOE_VC03,"Total; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC02_EST_VC03,"Male; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC02_MOE_VC03,"Male; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC03_EST_VC03,"Female; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC03_MOE_VC03,"Female; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC04_EST_VC03,"Median earnings (dollars); Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC04_MOE_VC03,"Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC05_EST_VC03,"Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC05_MOE_VC03,"Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC06_EST_VC03,"Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC06_MOE_VC03,"Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC01_EST_VC04,"Total; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Mining"
HC01_MOE_VC04,"Total; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Mining"
HC02_EST_VC04,"Male; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Mining"
HC02_MOE_VC04,"Male; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Mining"
HC03_EST_VC04,"Female; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Mining"
HC03_MOE_VC04,"Female; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Mining"
HC04_EST_VC04,"Median earnings (dollars); Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Mining"
HC04_MOE_VC04,"Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Mining"
HC05_EST_VC04,"Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Mining"
HC05_MOE_VC04,"Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Mining"
HC06_EST_VC04,"Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Mining"
HC06_MOE_VC04,"Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining: - Mining"
HC01_EST_VC05,Total; Estimate; Civilian employed population 16 years and over - Construction
HC01_MOE_VC05,Total; Margin of Error; Civilian employed population 16 years and over - Construction
HC02_EST_VC05,Male; Estimate; Civilian employed population 16 years and over - Construction
HC02_MOE_VC05,Male; Margin of Error; Civilian employed population 16 years and over - Construction
HC03_EST_VC05,Female; Estimate; Civilian employed population 16 years and over - Construction
HC03_MOE_VC05,Female; Margin of Error; Civilian employed population 16 years and over - Construction
HC04_EST_VC05,Median earnings (dollars); Estimate; Civilian employed population 16 years and over - Construction
HC04_MOE_VC05,Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over - Construction
HC05_EST_VC05,Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over - Construction
HC05_MOE_VC05,Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over - Construction
HC06_EST_VC05,Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over - Construction
HC06_MOE_VC05,Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over - Construction
HC01_EST_VC06,Total; Estimate; Civilian employed population 16 years and over - Manufacturing
HC01_MOE_VC06,Total; Margin of Error; Civilian employed population 16 years and over - Manufacturing
HC02_EST_VC06,Male; Estimate; Civilian employed population 16 years and over - Manufacturing
HC02_MOE_VC06,Male; Margin of Error; Civilian employed population 16 years and over - Manufacturing
HC03_EST_VC06,Female; Estimate; Civilian employed population 16 years and over - Manufacturing
HC03_MOE_VC06,Female; Margin of Error; Civilian employed population 16 years and over - Manufacturing
HC04_EST_VC06,Median earnings (dollars); Estimate; Civilian employed population 16 years and over - Manufacturing
HC04_MOE_VC06,Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over - Manufacturing
HC05_EST_VC06,Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over - Manufacturing
HC05_MOE_VC06,Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over - Manufacturing
HC06_EST_VC06,Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over - Manufacturing
HC06_MOE_VC06,Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over - Manufacturing
HC01_EST_VC07,Total; Estimate; Civilian employed population 16 years and over - Wholesale trade
HC01_MOE_VC07,Total; Margin of Error; Civilian employed population 16 years and over - Wholesale trade
HC02_EST_VC07,Male; Estimate; Civilian employed population 16 years and over - Wholesale trade
HC02_MOE_VC07,Male; Margin of Error; Civilian employed population 16 years and over - Wholesale trade
HC03_EST_VC07,Female; Estimate; Civilian employed population 16 years and over - Wholesale trade
HC03_MOE_VC07,Female; Margin of Error; Civilian employed population 16 years and over - Wholesale trade
HC04_EST_VC07,Median earnings (dollars); Estimate; Civilian employed population 16 years and over - Wholesale trade
HC04_MOE_VC07,Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over - Wholesale trade
HC05_EST_VC07,Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over - Wholesale trade
HC05_MOE_VC07,Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over - Wholesale trade
HC06_EST_VC07,Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over - Wholesale trade
HC06_MOE_VC07,Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over - Wholesale trade
HC01_EST_VC08,Total; Estimate; Civilian employed population 16 years and over - Retail trade
HC01_MOE_VC08,Total; Margin of Error; Civilian employed population 16 years and over - Retail trade
HC02_EST_VC08,Male; Estimate; Civilian employed population 16 years and over - Retail trade
HC02_MOE_VC08,Male; Margin of Error; Civilian employed population 16 years and over - Retail trade
HC03_EST_VC08,Female; Estimate; Civilian employed population 16 years and over - Retail trade
HC03_MOE_VC08,Female; Margin of Error; Civilian employed population 16 years and over - Retail trade
HC04_EST_VC08,Median earnings (dollars); Estimate; Civilian employed population 16 years and over - Retail trade
HC04_MOE_VC08,Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over - Retail trade
HC05_EST_VC08,Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over - Retail trade
HC05_MOE_VC08,Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over - Retail trade
HC06_EST_VC08,Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over - Retail trade
HC06_MOE_VC08,Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over - Retail trade
HC01_EST_VC09,"Total; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities:"
HC01_MOE_VC09,"Total; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities:"
HC02_EST_VC09,"Male; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities:"
HC02_MOE_VC09,"Male; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities:"
HC03_EST_VC09,"Female; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities:"
HC03_MOE_VC09,"Female; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities:"
HC04_EST_VC09,"Median earnings (dollars); Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities:"
HC04_MOE_VC09,"Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities:"
HC05_EST_VC09,"Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities:"
HC05_MOE_VC09,"Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities:"
HC06_EST_VC09,"Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities:"
HC06_MOE_VC09,"Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities:"
HC01_EST_VC10,"Total; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Transportation and warehousing"
HC01_MOE_VC10,"Total; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Transportation and warehousing"
HC02_EST_VC10,"Male; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Transportation and warehousing"
HC02_MOE_VC10,"Male; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Transportation and warehousing"
HC03_EST_VC10,"Female; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Transportation and warehousing"
HC03_MOE_VC10,"Female; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Transportation and warehousing"
HC04_EST_VC10,"Median earnings (dollars); Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Transportation and warehousing"
HC04_MOE_VC10,"Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Transportation and warehousing"
HC05_EST_VC10,"Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Transportation and warehousing"
HC05_MOE_VC10,"Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Transportation and warehousing"
HC06_EST_VC10,"Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Transportation and warehousing"
HC06_MOE_VC10,"Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Transportation and warehousing"
HC01_EST_VC11,"Total; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Utilities"
HC01_MOE_VC11,"Total; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Utilities"
HC02_EST_VC11,"Male; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Utilities"
HC02_MOE_VC11,"Male; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Utilities"
HC03_EST_VC11,"Female; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Utilities"
HC03_MOE_VC11,"Female; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Utilities"
HC04_EST_VC11,"Median earnings (dollars); Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Utilities"
HC04_MOE_VC11,"Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Utilities"
HC05_EST_VC11,"Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Utilities"
HC05_MOE_VC11,"Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Utilities"
HC06_EST_VC11,"Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Utilities"
HC06_MOE_VC11,"Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities: - Utilities"
HC01_EST_VC12,Total; Estimate; Civilian employed population 16 years and over - Information
HC01_MOE_VC12,Total; Margin of Error; Civilian employed population 16 years and over - Information
HC02_EST_VC12,Male; Estimate; Civilian employed population 16 years and over - Information
HC02_MOE_VC12,Male; Margin of Error; Civilian employed population 16 years and over - Information
HC03_EST_VC12,Female; Estimate; Civilian employed population 16 years and over - Information
HC03_MOE_VC12,Female; Margin of Error; Civilian employed population 16 years and over - Information
HC04_EST_VC12,Median earnings (dollars); Estimate; Civilian employed population 16 years and over - Information
HC04_MOE_VC12,Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over - Information
HC05_EST_VC12,Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over - Information
HC05_MOE_VC12,Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over - Information
HC06_EST_VC12,Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over - Information
HC06_MOE_VC12,Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over - Information
HC01_EST_VC13,"Total; Estimate; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing:"
HC01_MOE_VC13,"Total; Margin of Error; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing:"
HC02_EST_VC13,"Male; Estimate; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing:"
HC02_MOE_VC13,"Male; Margin of Error; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing:"
HC03_EST_VC13,"Female; Estimate; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing:"
HC03_MOE_VC13,"Female; Margin of Error; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing:"
HC04_EST_VC13,"Median earnings (dollars); Estimate; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing:"
HC04_MOE_VC13,"Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing:"
HC05_EST_VC13,"Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing:"
